texto_cv,area
"Enfermera titulada con experiencia en atención primaria, pediatría y manejo de medicamentos.",Salud
Médico general con enfoque en medicina preventiva y experiencia en centros de salud pública.,Salud
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
"Enfermera titulada con experiencia en atención primaria, pediatría y manejo de medicamentos.",Salud
Médico general con enfoque en medicina preventiva y experiencia en centros de salud pública.,Salud
"Enfermera titulada con experiencia en atención primaria, pediatría y manejo de medicamentos.",Salud
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
Médico general con enfoque en medicina preventiva y experiencia en centros de salud pública.,Salud
"Enfermera titulada con experiencia en atención primaria, pediatría y manejo de medicamentos.",Salud
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Profesora de secundaria con especialidad en matemáticas y experiencia en educación inclusiva.,Educación
Licenciado en pedagogía con experiencia en desarrollo curricular y uso de tecnologías educativas.,Educación
Licenciado en pedagogía con experiencia en desarrollo curricular y uso de tecnologías educativas.,Educación
Profesora de secundaria con especialidad en matemáticas y experiencia en educación inclusiva.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Licenciado en pedagogía con experiencia en desarrollo curricular y uso de tecnologías educativas.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Licenciado en pedagogía con experiencia en desarrollo curricular y uso de tecnologías educativas.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Profesora de secundaria con especialidad en matemáticas y experiencia en educación inclusiva.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Licenciado en pedagogía con experiencia en desarrollo curricular y uso de tecnologías educativas.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Licenciado en pedagogía con experiencia en desarrollo curricular y uso de tecnologías educativas.,Educación
Docente de inglés con certificación CELTA y experiencia en enseñanza online.,Educación
Licenciado en pedagogía con experiencia en desarrollo curricular y uso de tecnologías educativas.,Educación
Analista financiero con habilidades en modelado financiero y análisis de riesgos.,Finanzas / Contabilidad
Analista financiero con habilidades en modelado financiero y análisis de riesgos.,Finanzas / Contabilidad
Especialista en impuestos con conocimientos en normativas fiscales y tributarias.,Finanzas / Contabilidad
Analista financiero con habilidades en modelado financiero y análisis de riesgos.,Finanzas / Contabilidad
Especialista en impuestos con conocimientos en normativas fiscales y tributarias.,Finanzas / Contabilidad
"Contador público con experiencia en auditorías, estados financieros y SAP.",Finanzas / Contabilidad
"Contador público con experiencia en auditorías, estados financieros y SAP.",Finanzas / Contabilidad
Analista financiero con habilidades en modelado financiero y análisis de riesgos.,Finanzas / Contabilidad
Especialista en impuestos con conocimientos en normativas fiscales y tributarias.,Finanzas / Contabilidad
Analista financiero con habilidades en modelado financiero y análisis de riesgos.,Finanzas / Contabilidad
Especialista en impuestos con conocimientos en normativas fiscales y tributarias.,Finanzas / Contabilidad
Especialista en impuestos con conocimientos en normativas fiscales y tributarias.,Finanzas / Contabilidad
"Contador público con experiencia en auditorías, estados financieros y SAP.",Finanzas / Contabilidad
Especialista en impuestos con conocimientos en normativas fiscales y tributarias.,Finanzas / Contabilidad
Especialista en impuestos con conocimientos en normativas fiscales y tributarias.,Finanzas / Contabilidad
Analista financiero con habilidades en modelado financiero y análisis de riesgos.,Finanzas / Contabilidad
Analista financiero con habilidades en modelado financiero y análisis de riesgos.,Finanzas / Contabilidad
Especialista en impuestos con conocimientos en normativas fiscales y tributarias.,Finanzas / Contabilidad
"Contador público con experiencia en auditorías, estados financieros y SAP.",Finanzas / Contabilidad
Analista financiero con habilidades en modelado financiero y análisis de riesgos.,Finanzas / Contabilidad
Ingeniero mecánico con experiencia en diseño CAD y mantenimiento de maquinaria.,Ingeniería
"Ingeniero civil con experiencia en obras públicas, presupuestos y manejo de AutoCAD.",Ingeniería
Ingeniero mecánico con experiencia en diseño CAD y mantenimiento de maquinaria.,Ingeniería
Ingeniero eléctrico con conocimientos en instalaciones industriales y sistemas de automatización.,Ingeniería
Ingeniero eléctrico con conocimientos en instalaciones industriales y sistemas de automatización.,Ingeniería
Ingeniero eléctrico con conocimientos en instalaciones industriales y sistemas de automatización.,Ingeniería
Ingeniero mecánico con experiencia en diseño CAD y mantenimiento de maquinaria.,Ingeniería
Ingeniero mecánico con experiencia en diseño CAD y mantenimiento de maquinaria.,Ingeniería
Ingeniero mecánico con experiencia en diseño CAD y mantenimiento de maquinaria.,Ingeniería
Ingeniero mecánico con experiencia en diseño CAD y mantenimiento de maquinaria.,Ingeniería
Ingeniero eléctrico con conocimientos en instalaciones industriales y sistemas de automatización.,Ingeniería
"Ingeniero civil con experiencia en obras públicas, presupuestos y manejo de AutoCAD.",Ingeniería
Ingeniero eléctrico con conocimientos en instalaciones industriales y sistemas de automatización.,Ingeniería
Ingeniero mecánico con experiencia en diseño CAD y mantenimiento de maquinaria.,Ingeniería
Ingeniero eléctrico con conocimientos en instalaciones industriales y sistemas de automatización.,Ingeniería
"Ingeniero civil con experiencia en obras públicas, presupuestos y manejo de AutoCAD.",Ingeniería
Ingeniero eléctrico con conocimientos en instalaciones industriales y sistemas de automatización.,Ingeniería
"Ingeniero civil con experiencia en obras públicas, presupuestos y manejo de AutoCAD.",Ingeniería
Ingeniero mecánico con experiencia en diseño CAD y mantenimiento de maquinaria.,Ingeniería
Ingeniero eléctrico con conocimientos en instalaciones industriales y sistemas de automatización.,Ingeniería
Analista de mercado con conocimientos en estudios de mercado y comportamiento del consumidor.,Marketing / Publicidad
Analista de mercado con conocimientos en estudios de mercado y comportamiento del consumidor.,Marketing / Publicidad
Analista de mercado con conocimientos en estudios de mercado y comportamiento del consumidor.,Marketing / Publicidad
Creativo publicitario con experiencia en redacción de contenido y branding.,Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
Analista de mercado con conocimientos en estudios de mercado y comportamiento del consumidor.,Marketing / Publicidad
Creativo publicitario con experiencia en redacción de contenido y branding.,Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
Creativo publicitario con experiencia en redacción de contenido y branding.,Marketing / Publicidad
Analista de mercado con conocimientos en estudios de mercado y comportamiento del consumidor.,Marketing / Publicidad
"Especialista en marketing digital con experiencia en SEO, SEM y campañas en redes sociales.",Marketing / Publicidad
Creativo publicitario con experiencia en redacción de contenido y branding.,Marketing / Publicidad
Creativo publicitario con experiencia en redacción de contenido y branding.,Marketing / Publicidad
Analista de mercado con conocimientos en estudios de mercado y comportamiento del consumidor.,Marketing / Publicidad
Encargado de nómina con experiencia en legislación laboral y sistemas de gestión.,Recursos Humanos
"Generalista de RRHH con experiencia en reclutamiento, capacitación y clima laboral.",Recursos Humanos
Encargado de nómina con experiencia en legislación laboral y sistemas de gestión.,Recursos Humanos
Encargado de nómina con experiencia en legislación laboral y sistemas de gestión.,Recursos Humanos
Especialista en selección de personal para perfiles tecnológicos y administrativos.,Recursos Humanos
Especialista en selección de personal para perfiles tecnológicos y administrativos.,Recursos Humanos
Especialista en selección de personal para perfiles tecnológicos y administrativos.,Recursos Humanos
"Generalista de RRHH con experiencia en reclutamiento, capacitación y clima laboral.",Recursos Humanos
"Generalista de RRHH con experiencia en reclutamiento, capacitación y clima laboral.",Recursos Humanos
Encargado de nómina con experiencia en legislación laboral y sistemas de gestión.,Recursos Humanos
Encargado de nómina con experiencia en legislación laboral y sistemas de gestión.,Recursos Humanos
"Generalista de RRHH con experiencia en reclutamiento, capacitación y clima laboral.",Recursos Humanos
"Generalista de RRHH con experiencia en reclutamiento, capacitación y clima laboral.",Recursos Humanos
Especialista en selección de personal para perfiles tecnológicos y administrativos.,Recursos Humanos
"Generalista de RRHH con experiencia en reclutamiento, capacitación y clima laboral.",Recursos Humanos
"Generalista de RRHH con experiencia en reclutamiento, capacitación y clima laboral.",Recursos Humanos
Encargado de nómina con experiencia en legislación laboral y sistemas de gestión.,Recursos Humanos
Encargado de nómina con experiencia en legislación laboral y sistemas de gestión.,Recursos Humanos
Especialista en selección de personal para perfiles tecnológicos y administrativos.,Recursos Humanos
"Generalista de RRHH con experiencia en reclutamiento, capacitación y clima laboral.",Recursos Humanos
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Abogada corporativa con experiencia en derecho mercantil y contratos internacionales.,Legal / Derecho
Abogada corporativa con experiencia en derecho mercantil y contratos internacionales.,Legal / Derecho
Asistente legal con experiencia en trámites judiciales y redacción de documentos legales.,Legal / Derecho
Abogada corporativa con experiencia en derecho mercantil y contratos internacionales.,Legal / Derecho
Asistente legal con experiencia en trámites judiciales y redacción de documentos legales.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Asistente legal con experiencia en trámites judiciales y redacción de documentos legales.,Legal / Derecho
Asistente legal con experiencia en trámites judiciales y redacción de documentos legales.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Asistente legal con experiencia en trámites judiciales y redacción de documentos legales.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
Asistente legal con experiencia en trámites judiciales y redacción de documentos legales.,Legal / Derecho
Abogada corporativa con experiencia en derecho mercantil y contratos internacionales.,Legal / Derecho
Especialista en derecho laboral con conocimientos en negociación colectiva y legislación vigente.,Legal / Derecho
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
Administradora de empresas con experiencia en gestión de proyectos y control de presupuestos.,Administración / Negocios
Consultor de negocios con experiencia en estrategia empresarial y mejora de procesos.,Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
Consultor de negocios con experiencia en estrategia empresarial y mejora de procesos.,Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
Consultor de negocios con experiencia en estrategia empresarial y mejora de procesos.,Administración / Negocios
Administradora de empresas con experiencia en gestión de proyectos y control de presupuestos.,Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
Administradora de empresas con experiencia en gestión de proyectos y control de presupuestos.,Administración / Negocios
Consultor de negocios con experiencia en estrategia empresarial y mejora de procesos.,Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
Administradora de empresas con experiencia en gestión de proyectos y control de presupuestos.,Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
"Asistente administrativo con habilidades en organización de agendas, archivo y atención al cliente.",Administración / Negocios
Consultor de negocios con experiencia en estrategia empresarial y mejora de procesos.,Administración / Negocios
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
Ilustrador digital con conocimientos en dibujo vectorial y animación 2D.,Arte / Diseño
Diseñadora UX/UI con experiencia en diseño centrado en el usuario y prototipado.,Arte / Diseño
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
Diseñadora UX/UI con experiencia en diseño centrado en el usuario y prototipado.,Arte / Diseño
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
Ilustrador digital con conocimientos en dibujo vectorial y animación 2D.,Arte / Diseño
Ilustrador digital con conocimientos en dibujo vectorial y animación 2D.,Arte / Diseño
Ilustrador digital con conocimientos en dibujo vectorial y animación 2D.,Arte / Diseño
Diseñadora UX/UI con experiencia en diseño centrado en el usuario y prototipado.,Arte / Diseño
Ilustrador digital con conocimientos en dibujo vectorial y animación 2D.,Arte / Diseño
Ilustrador digital con conocimientos en dibujo vectorial y animación 2D.,Arte / Diseño
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
"Diseñador gráfico con experiencia en Adobe Creative Suite, identidad visual y diseño editorial.",Arte / Diseño
Ilustrador digital con conocimientos en dibujo vectorial y animación 2D.,Arte / Diseño
Ilustrador digital con conocimientos en dibujo vectorial y animación 2D.,Arte / Diseño
